Title,Company,Location,Type of Positions,Salary,Identified_Skills
"Sr Director, Statistical Programming",Olema Oncology,MA,Full-time,223000,['gcp']
Data Scientist,eHealth,Remote,Full-time,89800,"['tensorflow', 'pytorch', 'python', 'machine learning', 'spark ml', 'nosql', 'sql', 'git']"
Data Scientist,General Atomics and Affiliated Companies,CA,Full-time,81080,['machine learning']
Data Scientist,CVS Health,TX,Full-time,73500,"['python', 'machine learning', 'deep learning', 'aws', 'gcp', 'sql']"
Senior Data Scientist,Microsoft,WA,Full-time,112000,"['python', 'machine learning', 'azure']"
Data Scientist,US Office of Enterprise Integration,DC,Full-time,78592,['machine learning']
Data Scientist Lead,JPMorgan Chase & Co,NJ,Full-time,178000,"['tensorflow', 'pytorch', 'python', 'numpy', 'pandas', 'machine learning', 'deep learning', 'aws', 'hadoop']"
"Data Scientist, Lead",Booz Allen Hamilton,VA,Full-time,106200,"['machine learning', 'tableau', 'sql']"
Data Scientist,US Assistant Secretary for Public and Indian...,DC,Full-time,69107,"['python', 'sql']"
Critical Infrastructure and Data Analytics Scientist (Scientist 3),Los Alamos National Laboratory,NM,Full-time,119200,"['python', 'machine learning', 'sql']"
"Applied Data Scientist, ML and DL Engineer - Cybersecurity",NVIDIA,VA,Full-time,176000,"['python', 'deep learning', 'docker']"
"Data Scientist, Client Analytics",Ibotta,Hybrid,Full-time,90000,"['python', 'machine learning', 'etl', 'sql', 'airflow', 'git']"
"Applied Data Scientist, ML and DL Engineer - Cybersecurity",NVIDIA,VA,Full-time,176000,"['python', 'deep learning', 'docker']"
Manager Data Science (multiple openings) - IHM,Discover Financial Services,IL,Full-time,131498,"['python', 'machine learning', 'sql']"
Senior Data Analyst,General Dynamics Information Technology,Remote,Full-time,76000,['sql']
Lead Data Scientist - Remote,Symetra Financial,Remote,Full-time,107200,"['python', 'tableau', 'sql']"
Experienced Data Scientist,Principal Financial Group,IA,Full-time,106400,"['tensorflow', 'pytorch', 'python', 'machine learning', 'aws', 'azure']"
